Session_ID,Customer_ID,Product_Viewed,Category,Page_Duration_Seconds,Pages_Viewed,Device_Type,Referrer,Time_of_Day,Bounce
1,1167,Laptop,Gadgets,90.92524664798229,6.0,Desktop,Direct,Afternoon,Yes
2,7217,Headphones,Accessories,220.84253157516397,5.0,Mobile,Google,Evening,Yes
3,4336,Laptop,Accessories,224.4625196735264,6.0,Desktop,Facebook,Morning,Yes
4,4105,Smartwatch,Gadgets,47.188423116676496,2.0,Desktop,Email,Morning,Yes
5,11444,Smartwatch,Electronics,200.93683947872066,,Desktop,Facebook,Afternoon,No
6,5674,Headphones,Electronics,167.179933611415,1.0,Tablet,Google,Evening,Yes
7,15179,Headphones,Accessories,54.454663393759105,9.0,Mobile,Google,Evening,No
8,2549,Smartphone,Gadgets,262.4007050363008,7.0,Tablet,Facebook,Afternoon,Yes
9,13345,Smartwatch,Accessories,183.6439827242649,3.0,Mobile,Email,Night,No
10,16080,Tablet,Electronics,189.98300341571382,9.0,Mobile,Email,Afternoon,No
11,13949,Smartwatch,Gadgets,120.46838567954693,6.0,Desktop,Direct,Morning,Yes
12,6523,Tablet,Accessories,28.087727985810808,7.0,Desktop,Direct,Evening,No
13,1757,Laptop,Electronics,150.2617372362317,,Desktop,Direct,Night,No
14,15660,Smartphone,Electronics,48.77610415039564,5.0,Mobile,Facebook,Morning,Yes
15,14872,Smartwatch,Accessories,186.39852755828898,4.0,Tablet,Facebook,Evening,No
16,1189,Smartphone,Gadgets,8.45825563723825,9.0,Mobile,Direct,Morning,Yes
17,15793,Headphones,Electronics,104.52670133079957,1.0,Tablet,Direct,Evening,Yes
18,11177,Laptop,Gadgets,209.05253110039732,8.0,Desktop,Facebook,Evening,No
19,11824,Headphones,Electronics,922.7181340102394,3.0,Tablet,Facebook,Evening,Yes
20,7575,Headphones,Accessories,32.23610205164235,7.0,Desktop,Google,Evening,No
21,16029,Smartwatch,Electronics,160.0541631103132,5.0,Tablet,Direct,Evening,No
22,13743,Smartwatch,Accessories,169.78770476615762,2.0,Mobile,Email,Evening,No
23,5038,Smartwatch,Electronics,239.97494785184855,9.0,Tablet,Email,Morning,No
24,15059,Headphones,Gadgets,264.3879520818589,3.0,Desktop,Direct,Morning,Yes
25,404,Tablet,Accessories,169.83116272227088,3.0,Desktop,Facebook,Night,No
26,11218,Smartwatch,Electronics,240.70543011485483,4.0,Mobile,Google,Night,No
27,1006,Tablet,Accessories,,1.0,Mobile,Google,Morning,No
28,4444,Smartwatch,Electronics,255.88936003948186,3.0,Tablet,Google,Evening,Yes
29,13566,Smartwatch,Gadgets,19.18653909411811,4.0,Desktop,Email,Night,No
30,7605,Smartphone,Gadgets,148.75047563842182,3.0,Mobile,Google,Night,No
31,6430,Laptop,Electronics,24.18973167204866,5.0,Tablet,Google,Morning,No
32,15507,Headphones,Electronics,15.081592969754642,7.0,Mobile,Facebook,Afternoon,Yes
33,18280,Smartwatch,Gadgets,149.93698521649472,4.0,Mobile,Direct,Evening,No
34,8882,Smartphone,Electronics,273.8239736105845,7.0,Desktop,Google,Night,Yes
35,8008,Smartwatch,Electronics,274.58753655710615,8.0,Mobile,Direct,Night,No
36,11346,Tablet,Gadgets,36.66192470358369,9.0,Desktop,Facebook,Evening,No
37,16540,Smartphone,Electronics,208.96931901106674,7.0,Desktop,Facebook,Evening,No
38,17351,Headphones,Electronics,92.41432990672561,8.0,Tablet,Direct,Evening,Yes
39,9554,Laptop,Electronics,218.89280814088926,2.0,Desktop,Email,Night,Yes
40,10576,Headphones,Gadgets,166.57731389756628,8.0,Desktop,Email,Evening,No
41,13314,Headphones,Gadgets,,1.0,Tablet,Direct,Morning,Yes
42,1524,Tablet,Accessories,261.2494926705816,1.0,Tablet,Facebook,Afternoon,Yes
43,1272,Headphones,Electronics,270.93401614092664,7.0,Mobile,Direct,Morning,No
44,9454,Tablet,Accessories,91.52954591366071,9.0,Desktop,Facebook,Afternoon,No
45,7113,Smartwatch,Gadgets,233.44472783904814,8.0,Tablet,Direct,Night,Yes
46,14190,Smartwatch,Electronics,167.9652696638366,6.0,Mobile,Direct,Night,Yes
47,16221,Tablet,Accessories,120.34405601926197,1.0,Desktop,Direct,Afternoon,No
48,14283,Smartphone,Electronics,140.76456758829607,3.0,Desktop,Direct,Afternoon,No
49,4374,Smartphone,Gadgets,56.48828466022124,1.0,Mobile,Email,Afternoon,Yes
50,17306,Laptop,Accessories,100.68347597035307,3.0,Desktop,Google,Morning,Yes
51,4182,Tablet,Gadgets,151.8495562105057,2.0,Tablet,Facebook,Evening,No
52,11508,Tablet,Accessories,207.55736542212483,,Mobile,Email,Afternoon,Yes
53,9006,Laptop,Accessories,260.5990474646783,6.0,Mobile,Email,Evening,Yes
54,6537,Smartphone,Gadgets,250.14656747826527,3.0,Mobile,Facebook,Evening,Yes
55,14815,Smartwatch,Electronics,142.20035685030246,2.0,Tablet,Facebook,Morning,No
56,681,Headphones,Gadgets,118.0480871159815,6.0,Tablet,Direct,Morning,No
57,14061,Smartphone,Accessories,274.90544633920837,7.0,Desktop,Direct,Evening,Yes
58,7321,Tablet,Gadgets,218.7271839365378,1.0,Tablet,Email,Night,No
59,15807,Smartphone,Electronics,228.05554174330493,2.0,Mobile,Email,Morning,No
60,2824,Laptop,Accessories,277.42787823345515,8.0,Mobile,Email,Morning,Yes
61,13605,Tablet,Electronics,148.21334766698104,4.0,Tablet,Email,Evening,Yes
62,14775,Smartwatch,Electronics,82.09088370810275,5.0,Tablet,Direct,Night,No
63,14319,Tablet,Accessories,182.86668307429952,3.0,Tablet,Facebook,Night,No
64,13654,Tablet,Gadgets,210.96966735815988,5.0,Desktop,Direct,Morning,Yes
65,5953,Headphones,Accessories,197.52368444621746,2.0,Tablet,Google,Evening,No
66,4643,Tablet,Electronics,185.67665724224352,2.0,Desktop,Facebook,Morning,Yes
67,3958,Laptop,Electronics,160.683699143507,2.0,Mobile,Direct,Evening,Yes
68,9298,Smartphone,Gadgets,241.84734829082578,6.0,Tablet,Direct,Afternoon,No
69,14584,Headphones,Electronics,,1.0,Tablet,Email,Evening,No
70,6542,Smartwatch,Gadgets,,8.0,Desktop,Email,Morning,Yes
71,4295,Smartphone,Accessories,226.52172481228982,8.0,Tablet,Direct,Evening,Yes
72,8077,Smartwatch,Electronics,98.47831944943414,6.0,Tablet,Google,Afternoon,No
73,9553,Headphones,Electronics,259.4203210541755,7.0,Desktop,Google,Afternoon,No
74,7531,Smartwatch,Electronics,,2.0,Desktop,Google,Morning,Yes
75,9000,Headphones,Accessories,117.5631776627835,8.0,Tablet,Direct,Evening,No
76,2637,Smartphone,Gadgets,281.0895461668736,4.0,Tablet,Direct,Afternoon,Yes
