Feedback_ID,Customer_ID,Product_ID,Rating,Feedback_Date,Feedback_Type,Resolution_Status,Customer_Service_Score,Likelihood_to_Recommend,Feedback_Comments_Length
1,3752,5270,3.8258377692412293,2023-04-09 19:18:56.996575904,Neutral,Resolved,9.219534096343043,6.33577555408206,134
2,10710,5941,3.3697612769194314,2023-04-09 19:18:56.996575904,Positive,Unresolved,3.9673169797651147,8.249971072435963,108
3,3666,4819,4.616011282561101,2023-04-09 19:18:56.996575904,Positive,Resolved,4.39202945424992,2.2652610256770758,20
4,13912,10266,,2023-04-09 19:18:56.996575904,Positive,Resolved,4.368048748374191,7.630137256928399,325
5,17606,5027,3.8140124492668197,2023-04-09 19:18:56.996575904,Neutral,Unresolved,2.1784698127833835,4.817914245634716,444
6,2151,9372,1.7618717452794401,2023-04-09 19:18:56.996575904,Negative,Resolved,1.5305201830033568,9.335225577498527,86
7,9792,11492,2.525300112738156,2023-04-09 19:18:56.996575904,Negative,Unresolved,3.5992358518224763,9.668469188337355,448
8,18181,10861,3.4826771455463157,2023-04-09 19:18:56.996575904,Neutral,Pending,9.429076858832143,6.515090762950945,42
9,1987,10386,1.27586430183521,2023-04-09 19:18:56.996575904,Neutral,Resolved,,2.347652466522631,493
10,2186,14150,4.377330459185963,2023-04-09 19:18:56.996575904,Neutral,Unresolved,7.475719564661128,9.014149984333534,270
11,361,13400,4.986275833947714,2023-04-09 19:18:56.996575904,Negative,Resolved,6.572032658236417,1.491164575767771,217
12,17288,1517,2.464097087489258,2023-04-09 19:18:56.996575904,Neutral,Unresolved,3.430151453548059,5.885219928769226,434
13,10811,1326,,2023-04-09 19:18:56.996575904,Negative,Resolved,8.49293436460108,5.955516373003642,287
14,14789,12400,3.1356298287261675,2023-04-09 19:18:56.996575904,Negative,Unresolved,4.973538061495399,1.7600972346911208,366
15,3299,12231,4.5364113462826,2023-04-09 19:18:56.996575904,Positive,Unresolved,1.3040091644384924,5.986151272648976,435
16,17798,12929,1.3926420581397814,2023-04-09 19:18:56.996575904,Negative,Unresolved,3.0390726339793397,8.86764182402278,441
17,15628,5184,1.0044103978455383,2023-04-09 19:18:56.996575904,Negative,Resolved,3.6565279502152004,6.322312798529157,54
18,17293,1432,1.4998302578322114,2023-04-09 19:18:56.996575904,Positive,Resolved,8.764276579469339,5.477375464960677,479
19,3131,6902,1.899531744930727,2023-04-09 19:18:56.996575904,Negative,Resolved,4.4788140350652,3.1449800864704973,283
20,9628,5165,4.582100689488405,2023-04-09 19:18:56.996575904,Positive,Unresolved,3.378600013340464,9.434805201985967,471
21,18151,4836,1.3007854887800083,2023-04-09 19:18:56.996575904,Positive,Pending,3.5570986712104,8.936956918584006,218
22,12715,10492,1.5646328147314659,2023-04-09 19:18:56.996575904,Negative,Unresolved,1.0725351118479693,5.054408811304459,314
23,2465,2634,1.5193972458300924,2023-04-09 19:18:56.996575904,Neutral,Resolved,5.057771887273123,2.8084774810829463,105
24,3626,11067,3.954687027775782,2023-04-09 19:18:56.996575904,Positive,Unresolved,2.565949320600703,1.733549230529784,158
25,15710,10685,4.470788693300771,2023-04-09 19:18:56.996575904,Neutral,Resolved,5.379151979480542,3.456238755227511,443
26,11323,3514,3.881871288917455,2023-04-09 19:18:56.996575904,Positive,Resolved,2.1887683165303513,7.018242935567091,495
27,12223,15347,2.96678818386641,2023-04-09 19:18:56.996575904,Neutral,Pending,1.4637183777466878,6.449913964087306,371
28,2858,11913,4.117013034514481,2023-04-09 19:18:56.996575904,Positive,Resolved,6.781680969376312,8.596226701960987,487
29,14868,7932,2.151344441830546,2023-04-09 19:18:56.996575904,Positive,Resolved,7.8667845506314755,4.7073724578115295,73
30,4000,8477,1.7482067980783267,2023-04-09 19:18:56.996575904,Negative,Resolved,1.8486385249514536,2.03613247386041,418
31,12003,12454,3.251750036874665,2023-04-09 19:18:56.996575904,Neutral,Pending,7.740356281373692,4.4452488658606875,430
32,548,7316,3.9915982196588553,2023-04-09 19:18:56.996575904,Positive,Resolved,3.7737753867269985,1.3003626797707515,79
33,12743,14155,4.547582961794909,2023-04-09 19:18:56.996575904,Negative,Unresolved,7.418703089355247,4.751957133998122,223
34,13620,13626,1.2410984224448578,2023-04-09 19:18:56.996575904,Negative,Pending,6.5174753997959245,6.520959149244502,147
35,860,8607,1.6593806428387459,2023-04-09 19:18:56.996575904,Negative,Resolved,3.508492262561114,9.994589694134085,93
36,8668,5049,1.8674246121889255,2023-04-09 19:18:56.996575904,Negative,Pending,4.356535271110369,4.142136615009285,367
37,15022,11211,1.2140410106613273,2023-04-09 19:18:56.996575904,Neutral,Resolved,7.191020554297829,2.348897334211575,231
38,433,11526,2.8387844721840136,2023-04-09 19:18:56.996575904,Positive,Resolved,3.379430609337338,6.651005353066086,43
39,1591,18141,1.9564183322113275,2023-04-09 19:18:56.996575904,Negative,Resolved,9.677359336132195,4.726205739500806,113
40,10591,16293,3.595824743022179,2023-04-09 19:18:56.996575904,Positive,Unresolved,,1.0285377662156017,245
41,17147,2536,,2023-04-09 19:18:56.996575904,Positive,Pending,7.725603281536281,4.569231061096341,117
42,15293,6768,4.864269372952943,2023-04-09 19:18:56.996575904,Negative,Resolved,3.7019374197739974,3.2921560678969812,434
43,5837,12684,2.6125010558899446,2023-04-09 19:18:56.996575904,Positive,Resolved,5.7540895245514765,8.36685288972419,81
44,17025,10347,1.462654197390342,2023-04-09 19:18:56.996575904,Neutral,Pending,2.16388858798141,3.685734611907124,384
45,11356,483,1.9368483891077433,2023-04-09 19:18:56.996575904,Neutral,Unresolved,2.1468572480899644,5.047125488109119,217
46,12533,9323,2.4616914389137183,2023-04-09 19:18:56.996575904,Neutral,Unresolved,6.684492542992705,8.297281278099394,225
47,2547,10007,,2023-04-09 19:18:56.996575904,Negative,Pending,,4.278167936066555,164
48,6372,13690,4.043291507358929,2023-04-09 19:18:56.996575904,Positive,Pending,8.892751497847534,6.244226587957301,3
49,1439,17451,3.3023540114930077,2023-04-09 19:18:56.996575904,Neutral,Resolved,2.616160312498998,2.77986919377746,221
50,1557,360,3.6173663011709225,2023-04-09 19:18:56.996575904,Negative,Unresolved,7.59112507459453,1.396461122651596,46
51,4524,6980,1.811128437568581,2023-04-09 19:18:56.996575904,Positive,Pending,8.904995297850379,4.360396962059567,393
52,7691,9621,2.5998756790686377,2023-04-09 19:18:56.996575904,Negative,Unresolved,7.298629569043095,9.22285722788196,50
53,6006,6419,1.4029664843210905,2023-04-09 19:18:56.996575904,Positive,Pending,4.025634436939298,9.760221995945377,450
54,16055,17927,2.8076326221171994,2023-04-09 19:18:56.996575904,Positive,Unresolved,3.5163462930931977,7.273600924938215,310
55,12038,14410,3.3634182009334372,2023-04-09 19:18:56.996575904,Positive,Resolved,3.759079580003689,4.944686650548688,47
56,7618,380,4.351847314422155,2023-04-09 19:18:56.996575904,Negative,Pending,2.951664231593478,6.274013715345377,498
57,13289,12581,2.6011655267877223,2023-04-09 19:18:56.996575904,Positive,Resolved,6.808086350422287,4.980264050120859,487
58,13631,1727,4.920092075755946,2023-04-09 19:18:56.996575904,Neutral,Unresolved,4.865909812483313,2.0177625088423996,322
59,4092,10444,3.2605760308082727,2023-04-09 19:18:56.996575904,Neutral,Resolved,5.149297755282289,2.017971057491209,356
60,15818,3397,1.7057290542099706,2023-04-09 19:18:56.996575904,Positive,Resolved,3.302621812972545,5.3374689163724165,196
61,10678,12716,3.089048837704716,2023-04-09 19:18:56.996575904,Negative,Unresolved,3.46274534122342,6.9176069432476055,479
62,11655,16258,2.450709729953704,2023-04-09 19:18:56.996575904,Neutral,Unresolved,8.91090665485002,9.113410183435535,422
63,16848,17610,2.7735272580417134,2023-04-09 19:18:56.996575904,Positive,Unresolved,6.679196534706648,1.8308885159402197,236
64,4422,8512,1.5704678533226737,2023-04-09 19:18:56.996575904,Neutral,Pending,3.8041470370012,1.0963944385797297,189
65,15969,10981,4.527040225650534,2023-04-09 19:18:56.996575904,Negative,Pending,9.45110103399531,8.088604584691467,392
66,1183,16890,1.0287465669024982,2023-04-09 19:18:56.996575904,Positive,Pending,,5.618659329752922,144
67,12129,431,4.853295261661485,2023-04-09 19:18:56.996575904,Neutral,Resolved,5.108064646606322,2.5864687145594196,175
68,11122,1302,2.7396923294019837,2023-04-09 19:18:56.996575904,Positive,Unresolved,1.3060052503883033,8.397852714239683,154
69,5470,9358,1.7265552667562485,2023-04-09 19:18:56.996575904,Negative,Resolved,5.595394543007273,1.2869058646694902,61
70,12176,6606,,2023-04-09 19:18:56.996575904,Neutral,Pending,7.129048140182486,8.877239589653367,77
71,15416,10656,3.1964138039994436,2023-04-09 19:18:56.996575904,Positive,Unresolved,7.92195565473813,2.165719230306602,258
72,15619,10074,1.6880345361447553,2023-04-09 19:18:56.996575904,Neutral,Pending,1.014086170302755,2.2199617244274723,210
73,16534,10962,1.5230207032904701,2023-04-09 19:18:56.996575904,Negative,Unresolved,7.0938541071999675,6.127186106882032,38
74,9028,18304,4.014118089233447,2023-04-09 19:18:56.996575904,Positive,Unresolved,8.609718608207531,8.057075414379884,217
75,8153,16358,,2023-04-09 19:18:56.996575904,Negative,Resolved,27.050845615351868,1.6412750866368042,134
76,9788,817,2.64947190392141,2023-04-09 19:18:56.996575904,Neutral,Pending,4.676345539161284,4.989317050484835,397
77,1916,6357,2.2262082921744373,2023-04-09 19:18:56.996575904,Negative,Pending,8.531664313035673,8.768864420874603,248
78,17681,10262,2.0909529464120964,2023-04-09 19:18:56.996575904,Neutral,Unresolved,9.251546052096465,4.929256269686456,73
79,11771,6623,3.876855494305522,2023-04-09 19:18:56.996575904,Negative,Pending,8.44895521948768,4.238197833298903,80
