Purchase_ID,Customer_ID,Product_ID,Purchase_Amount,Discount_Applied,Payment_Method,Purchase_Date,Quantity_Purchased,Shipping_Cost,Delivery_Time_Days
1,5252,6998,526.3941184027544,Yes,Crypto,2024-03-15 00:21:40.766346,6,34.08744399765961,12
2,15851,4633,1527.5761446762679,Yes,Debit Card,2024-03-15 00:21:40.766346,3,30.625246517852457,9
3,15566,13836,1644.674663237767,No,Debit Card,2024-03-15 00:21:40.766346,7,44.56138398472215,4
4,1994,9542,540.6833445051838,Yes,Crypto,2024-03-15 00:21:40.766346,5,47.03664278857089,7
5,7675,7900,1752.8997010246876,Yes,Credit Card,2024-03-15 00:21:40.766346,5,3.7657417220997527,9
6,4433,2772,698.3682253314587,Yes,Debit Card,2024-03-15 00:21:40.766346,3,40.46042745253896,10
7,5563,11980,1051.5850648880883,Yes,PayPal,2024-03-15 00:21:40.766346,7,0.9481257533260512,12
8,6725,6190,1435.5279594322426,No,Debit Card,2024-03-15 00:21:40.766346,1,46.26411013365476,11
9,2339,14032,932.0023875800177,Yes,Crypto,2024-03-15 00:21:40.766346,2,44.96478451739541,10
10,3105,14124,768.1958017383976,Yes,Crypto,2024-03-15 00:21:40.766346,9,9.543443917647654,12
11,7601,6790,1320.9379603491998,No,Credit Card,2024-03-15 00:21:40.766346,4,13.239039746300652,8
12,16947,11501,278.0222080795307,Yes,PayPal,2024-03-15 00:21:40.766346,3,26.942514669869677,11
13,12588,13833,1455.2628034863749,Yes,Crypto,2024-03-15 00:21:40.766346,8,31.51892899439808,2
14,9137,2227,1289.859877702487,No,Credit Card,2024-03-15 00:21:40.766346,2,13.222271320100887,12
15,10869,5034,315.35123582952343,Yes,Debit Card,2024-03-15 00:21:40.766346,8,13.841957795171938,10
16,11299,17020,684.6790928188186,Yes,PayPal,2024-03-15 00:21:40.766346,2,46.043234427944924,2
17,18235,7058,828.4033846362731,Yes,Crypto,2024-03-15 00:21:40.766346,3,47.972017347809235,1
18,17108,8720,1917.849773153645,Yes,PayPal,2024-03-15 00:21:40.766346,2,43.54344753156338,5
19,16478,5417,601.5360246309509,Yes,PayPal,2024-03-15 00:21:40.766346,5,20.47449812123629,3
20,1673,8649,1653.6896820192217,Yes,Debit Card,2024-03-15 00:21:40.766346,5,4.198192423481678,1
21,8695,16210,89.4348594188341,No,Debit Card,2024-03-15 00:21:40.766346,6,21.56714090197144,13
22,13976,2419,204.70960376178493,No,PayPal,2024-03-15 00:21:40.766346,1,16.55701828003763,5
23,11371,16964,1876.7670628727285,Yes,Crypto,2024-03-15 00:21:40.766346,3,3.837783968457181,10
24,14880,12153,819.065964813966,No,Debit Card,2024-03-15 00:21:40.766346,4,13.280565137791477,5
25,7457,3538,372.165764107017,Yes,PayPal,2024-03-15 00:21:40.766346,7,36.44840399575899,5
26,10112,10163,1432.926078305861,Yes,Credit Card,2024-03-15 00:21:40.766346,3,22.237636187549896,8
27,995,8931,53.45194201783018,Yes,Credit Card,2024-03-15 00:21:40.766346,9,4.985842011100844,6
28,15246,10786,160.09589299100153,Yes,Crypto,2024-03-15 00:21:40.766346,6,36.34171901707271,6
29,6342,13812,1563.4752270792912,No,PayPal,2024-03-15 00:21:40.766346,3,4.356630519035037,7
30,10057,3963,1626.2430993701996,Yes,Crypto,2024-03-15 00:21:40.766346,3,,3
31,10633,6403,188.8781932297074,No,PayPal,2024-03-15 00:21:40.766346,3,6.5717916364328115,11
32,10350,6611,1027.6922740582775,No,Crypto,2024-03-15 00:21:40.766346,2,30.125165712016827,3
33,5569,2067,1671.6401864720715,No,Crypto,2024-03-15 00:21:40.766346,3,9.128415915816745,3
34,16172,4257,,Yes,Credit Card,2024-03-15 00:21:40.766346,8,5.680167411489206,5
35,11842,3435,1662.3840862237862,Yes,Crypto,2024-03-15 00:21:40.766346,1,28.12504378632627,10
36,7416,10844,1255.5551745194637,Yes,Credit Card,2024-03-15 00:21:40.766346,2,,11
37,13352,8721,1738.0589193270503,No,Debit Card,2024-03-15 00:21:40.766346,2,1.532166004627511,2
38,14965,13087,1191.081962838008,Yes,PayPal,2024-03-15 00:21:40.766346,4,25.58270077008479,6
39,16742,10903,1802.124350425935,No,Crypto,2024-03-15 00:21:40.766346,8,17.512095021704077,4
40,12683,6236,1511.424915606745,No,Crypto,2024-03-15 00:21:40.766346,4,13.888756126374208,8
41,16759,16481,669.9799878477338,Yes,Crypto,2024-03-15 00:21:40.766346,3,5.7942250270808735,4
42,14312,4737,486.61641447373086,Yes,Credit Card,2024-03-15 00:21:40.766346,8,,8
43,11408,13311,1727.7174227443195,No,Credit Card,2024-03-15 00:21:40.766346,2,1.6317058261269224,1
44,13368,12742,92.04678056207489,Yes,Crypto,2024-03-15 00:21:40.766346,2,3.479527864391768,9
45,15394,8703,812.2873753953428,Yes,Debit Card,2024-03-15 00:21:40.766346,3,14.019159636053308,5
46,7131,6658,246.06766961521166,Yes,Credit Card,2024-03-15 00:21:40.766346,7,1.945154467209359,8
47,14991,5182,327.40898301669085,Yes,Crypto,2024-03-15 00:21:40.766346,3,18.52155524331698,2
48,997,17912,1059.51560877054,No,Crypto,2024-03-15 00:21:40.766346,3,,9
49,7900,12192,1768.9276061319915,No,Crypto,2024-03-15 00:21:40.766346,9,20.33750903319581,13
50,18066,8724,1939.584781857691,Yes,Crypto,2024-03-15 00:21:40.766346,2,19.937601153258676,10
51,11137,10469,271.54334410248885,No,Crypto,2024-03-15 00:21:40.766346,9,8.894917168097665,9
52,6205,3477,1726.903572931237,No,Crypto,2024-03-15 00:21:40.766346,6,41.14825336234787,13
53,12578,12257,224.79903685458763,No,Credit Card,2024-03-15 00:21:40.766346,7,43.69082017412754,13
54,13199,14072,843.2549987202276,No,Credit Card,2024-03-15 00:21:40.766346,3,43.14000779787021,7
55,15592,8236,334.490392082044,Yes,PayPal,2024-03-15 00:21:40.766346,6,7.096474557865312,7
56,6683,13377,273.68885023279404,Yes,Debit Card,2024-03-15 00:21:40.766346,9,27.01532880097806,10
57,7410,11867,679.6678118934065,Yes,Crypto,2024-03-15 00:21:40.766346,1,38.589601759179146,2
58,10610,12925,1098.467255932679,No,Debit Card,2024-03-15 00:21:40.766346,9,42.24775549337277,10
59,8973,14235,235.95562928913597,Yes,Credit Card,2024-03-15 00:21:40.766346,4,21.677913173877066,9
60,6,11314,187.6124975555754,Yes,Debit Card,2024-03-15 00:21:40.766346,9,40.154389840894424,11
61,6342,12122,394.3721701700344,Yes,Crypto,2024-03-15 00:21:40.766346,8,19.79453664927059,11
62,3842,6677,706.4835469716794,No,Crypto,2024-03-15 00:21:40.766346,3,6.382231534326027,6
63,4716,3531,1807.026627470436,No,Crypto,2024-03-15 00:21:40.766346,1,44.447212208770786,10
64,1410,6698,1232.287674694007,No,Crypto,2024-03-15 00:21:40.766346,2,,5
65,3677,15164,867.9862626223971,Yes,PayPal,2024-03-15 00:21:40.766346,6,28.738231389505625,11
66,1087,986,1186.9529937667448,Yes,PayPal,2024-03-15 00:21:40.766346,6,25.13367731498754,10
67,16602,10022,1606.068141518355,Yes,Debit Card,2024-03-15 00:21:40.766346,5,12.861834702483211,9
